2010-06-28T00:00:15.570+0000|17180500825|1222|LOL|Ali Brar||17180499679
2010-06-28T00:00:51.176+0000|17180345383|3412|About Ben Jonson, was. About Fyodor Dostoyev. About Jerome,  347 – . About Ghaznavids..|Lei Wang||17180344973
2010-06-28T00:01:57.143+0000|17180736794|768|great|Abraham Townsend|17180736793|
2010-06-28T00:02:51.218+0000|17180277563|1099511629258|right|Jacques Alcazar||17180276917
2010-06-28T00:04:21.737+0000|17180018333|1099511630039|thx|Karishma Gurung||17180018124
2010-06-28T00:05:07.325+0000|17180668130|1099511628661|fine|Rudolf Engel||17180667883
2010-06-28T00:05:42.774+0000|17180668375|2199023256649|ok|Jorge Arango||17180667905
2010-06-28T00:06:25.745+0000|17180706365|1099511629463|ok|Mikhail Basov|17180706363|
2010-06-28T00:06:28.192+0000|17180601762|2588|fine|Luis Alonso|17180601760|
2010-06-28T00:06:29.921+0000|17180670698|2608|About Friedrich Nietzsche. About Richard Nixon, poli. About Muhammad Ali, Jr..|Wei Zhu||17180670425
2010-06-28T00:07:12.883+0000|17180878341|974|maybe|Heinz Frank||17180877644
2010-06-28T00:08:00.334+0000|17180670599|1847|thx|Jun Zhang||17180670416
2010-06-28T00:12:09.979+0000|17180500366|1099511630297|no way!|Ernest B Merton||17180499636
2010-06-28T00:13:09.708+0000|17180018223|1099511630039|About Alexan. About 50 Cen. About Weird . About Sheryl. About John Q. About Lorenz. About Laos, . .|Karishma Gurung|17180018218|
2010-06-28T00:13:45.002+0000|17180668342|609|duh|Lei Yang||17180667902
2010-06-28T00:15:09.799+0000|17181009740|1099511630454|thx|Lei Wang||17181009195
2010-06-28T00:15:27.602+0000|17180668082|2199023256649|right|Jorge Arango||17180667879
2010-06-28T00:16:04.951+0000|17180670564|1099511630776|fine|Jie Liu||17180670412
2010-06-28T00:17:30.695+0000|17180670607|1099511629672|thx|Chen Yang||17180670416
2010-06-28T00:18:32.306+0000|17180596335|1099511631981|duh|Abdul-Malik Alhouthi||17180592534
2010-06-28T00:20:00.415+0000|17180795987|3587|About Pope Be. About Jawahar. About Howard . About Aaron C. About Joe Coc. About.|Ahmad Chedid||17180795794
2010-06-28T00:21:22.447+0000|17180018234|1099511630039|maybe|Karishma Gurung|17180018229|
2010-06-28T00:24:23.166+0000|17180300673|1099511629430|About Janis Joplin, a rebellious and unconventional lifestyle, becoming a beatnik poet.|Kamal Aziz||17180300302
2010-06-28T00:24:26.318+0000|17179934045|1099511629877|About Seychelles, population of any A. About Mind Games, and No. 9 in the .|Prince Yamada|17179934038|
2010-06-28T00:25:57.904+0000|17180670649|1099511630504|cool|Macky Mendy|17180670640|
2010-06-28T00:26:04.207+0000|17180455203|4233|cool|Aleksandr Basov||17180454971
2010-06-28T00:27:07.758+0000|17180018215|1099511630039|roflol|Karishma Gurung||17180018114
2010-06-28T00:28:06.971+0000|17180668349|2698|LOL|Alexander Efimkin|17180668348|
2010-06-28T00:29:51.581+0000|17180500457|2917|thanks|Atsushi Yamada|17180500447|
2010-06-28T00:31:22.549+0000|17180601889|2194|maybe|Alexander Dobrunov|17180601882|
2010-06-28T00:31:46.597+0000|17180500536|1099511628310|About Arn. About Mar. About Gro. About Wei. About Bo . About Fat. About Cou..|Georgios Antoniou|17180500530|
2010-06-28T00:33:27.053+0000|17180878581|1099511628122|About Joni . About Anton. About Thoma. About Dr. D. About Paula. About All J. .|David Murray||17180877673
2010-06-28T00:35:12.555+0000|17180455202|1099511631424|I see|Baoping Huang||17180454971
2010-06-28T00:35:39.003+0000|17180455206|4233|good|Aleksandr Basov||17180454971
2010-06-28T00:38:20.275+0000|17179934004|1099511630806|yes|Alexander Basov||17179933902
2010-06-28T00:40:43.975+0000|17180500458|1099511628310|About Rabindranath Tagore, B. About 50 Cent, as the sixth-. About Strait Up, second an.|Georgios Antoniou|17180500447|
2010-06-28T00:40:54.495+0000|17180878583|974|About S. About G. About T. About J. About C. About M. About I. About P. About J.|Heinz Frank|17180878580|
2010-06-28T00:41:18.968+0000|17180500821|1099511630967|good|Dominique Dia||17180499679
2010-06-28T00:41:21.209+0000|17181336751|3780|yes|Chen Li|17181336747|
2010-06-28T00:42:03.734+0000|17179934005|1099511629463|thx|Mikhail Basov||17179933902
2010-06-28T00:44:50.133+0000|17180277663|1099511632600|right|Henry Stewart|17180277660|
2010-06-28T00:45:15.236+0000|17180500453|1222|right|Ali Brar||17180499642
2010-06-28T00:50:32.718+0000|17181242519|1355|thanks|Peter Taylor||17181242368
2010-06-28T00:52:47.811+0000|17181010392|1099511629672|great|Chen Yang||17181009257
2010-06-28T00:53:31.373+0000|17180500794|1099511630354|maybe|Peng Zhang||17180499676
2010-06-28T00:53:32.297+0000|17180796049|1099511631424|About Will. About Alfr. About Samu. About LL C. About Loui. About Ming. Abou.|Baoping Huang||17180795801
2010-06-28T00:53:48.053+0000|17180795968|1099511631424|LOL|Baoping Huang|17180795965|
