2010-08-06T00:10:43.944+0000|25770361071|1099511629519||Lei Zhang
2010-08-06T00:33:13.944+0000|25770462371|3571||Akram Abuhatzira
2010-08-06T00:39:57.993+0000|25770750990|4005||Zheng Zhang
2010-08-06T00:51:13.944+0000|25771108817|1099511630952||Asim Qureshi
2010-08-06T02:36:58.944+0000|25770881377|4018||Rodrigo Alves
2010-08-06T03:46:43.944+0000|25770002792|1099511631587||Alejandro Araya
2010-08-06T04:12:13.944+0000|25769837400|2199023258994||Witold Kaczmarek
2010-08-06T04:49:43.467+0000|25771119915|1099511629040||Jun Wu
2010-08-06T04:51:58.944+0000|25769837409|2199023258994||Witold Kaczmarek
2010-08-06T05:25:43.944+0000|25771065594|1099511628022||Brian Wilson
