2010-07-14T12:00:48.585+0000|17181241223|1099511632421|About Henry Clay, a Senate Committee selected Clay as one of the five greatest U..|Jun Hu|17181241221|
2010-07-14T12:01:06.799+0000|17180306007|2886|no|Baoping Wu|17180306006|
2010-07-14T12:17:16.662+0000|17181008958|3192|thx|Yang Zhang||17181008780
2010-07-14T12:18:14.473+0000|17181009067|4273|I see|Jun Lu|17181009063|
2010-07-14T12:19:16.339+0000|17180936835|4577|About Charles V, Holy Roman Emp. About Laurence Olivier, Golden . About Weird Al Yankovic, of ove. About I Shall Be Released, f.|Hao Zhang||17180936486
2010-07-14T12:19:41.179+0000|17180985310|4047|great|Li Zhang|17180985308|
2010-07-14T12:19:57.519+0000|17180936838|2608|I see|Wei Zhu|17180936835|
2010-07-14T12:19:59.111+0000|17180306113|2199023259961|fine|Jun Li||17180305609
2010-07-14T12:29:15.705+0000|17180306112|1847|good|Jun Zhang||17180305609
2010-07-14T12:30:52.422+0000|17181008871|1099511632742|About Napoleon, de. About Nero, an ear. About R. Kelly, st. About Beck, The Ho. About Run .|Yang Yang||17181008771
2010-07-14T12:31:54.297+0000|17181008861|2199023256940|roflol|Tom Williams||17181008771
2010-07-14T12:32:17.816+0000|17180936833|2874|cool|Jie Wu||17180936486
2010-07-14T12:32:24.671+0000|17180732624|2199023256132|cool|Mohamed Aouadhi|17180732617|
2010-07-14T12:32:42.601+0000|17181019614|3705|duh|Bingjian Zhang||17181019579
2010-07-14T12:33:01.390+0000|17180306068|1847|fine|Jun Zhang||17180305605
2010-07-14T12:36:46.676+0000|17181008948|3780|About Adolf. About Mobut. About Mark . About Janet. About Glen . About The F. Abou.|Chen Li||17181008780
2010-07-14T12:41:02.450+0000|17180985459|4047|no way!|Li Zhang||17180984777
2010-07-14T12:41:36.408+0000|17181092026|1099511630966|yes|Chris Merton||17181090110
2010-07-14T12:41:48.087+0000|17180306110|2199023257622|fine|Chengdong Yang||17180305609
2010-07-14T12:42:10.838+0000|17181008957|2886|yes|Baoping Wu|17181008948|
2010-07-14T12:42:16.621+0000|17180985460|1099511630204|About Franz Liszt, radical depar. About Leander Paes, to be one of. About Nicolas Cage, (2002), Nati. About Paperback Writer, On the U. About Cameroon, Cameroonia.|Yang Zhao||17180984777
2010-07-14T12:42:57.220+0000|17180692536|1099511631226|maybe|Mart Aas|17180692529|
2010-07-14T12:44:57.975+0000|17180985457|3309|LOL|Juan Cardenas||17180984777
2010-07-14T12:45:10.119+0000|17180732623|870|About Nicole Kidman, the late 1990s. It wa. About Edgar Rice Burroughs, hero Tarzan an. About Isaac Asimov, a crater on the pl.|Dionysis Karvelas|17180732617|
2010-07-14T12:48:05.426+0000|17181008949|4766|About Adolf. About Mobut. About Rapha. About Steve. About Glen . About Matt . About.|Chen Li|17181008948|
2010-07-14T12:48:27.631+0000|17180375067|1099511632098|About Arthur C. Clarke, C. Cl. About Robert Redford, and fou. About The Everly Brothers, .|Daniele Russo||17180374926
2010-07-14T12:56:11.207+0000|17181031731|1099511628575|duh|Ai Liu||17181031461
2010-07-14T12:56:13.212+0000|17181009015|3748|About William . About Stevie W. About Weird Al. About John Ste. About Star Gui. About .|Chen Yang|17181009011|
2010-07-14T13:01:38.194+0000|17180183412|459|About George Frideric Handel, time, wi. About Kingdom of Bavaria, 1871, Bava.|Jharana Bajracharya Rashid Shrestha|17180183411|
2010-07-14T13:05:21.605+0000|17180441803|4644|thanks|Alexei Pliuschin|17180441802|
2010-07-14T13:13:22.168+0000|17181009013|3748|About Adolf. About Mobut. About Andre. About Seren. About Sean . About So Mu. About Sopho..|Chen Yang||17181008787
2010-07-14T13:13:32.168+0000|17181009016|4005|LOL|Zheng Zhang|17181009013|
2010-07-14T13:14:33.779+0000|17181008863|4465|About Alan. About Mobu. About Nero. About Robe. About Viet. About Blac. Ab.|Wei Li||17181008771
2010-07-14T13:16:21.612+0000|17179930858|2608|About James Buchanan, . About Faith Hill, th. About Aaron Copland, l. About Kingdom of Eng.|Wei Zhu|17179930850|
2010-07-14T13:16:43.770+0000|17180732612|1099511631578|yes|Aisso Mamo||17180732017
2010-07-14T13:18:47.629+0000|17181009018|1099511631424|thanks|Baoping Huang|17181009013|
2010-07-14T13:20:37.480+0000|17181210040|459|About Cyndi Lauper, eleve. About I Want You to Want . About Ms. Jackson, Th.|Jharana Bajracharya Rashid Shrestha||17181208612
2010-07-14T13:22:11.099+0000|17181008862|2199023256940|yes|Tom Williams||17181008771
2010-07-14T13:24:47.570+0000|17180305861|2199023257622|About Du. About Je. About Wi. About 50. About Ja. About Be. About UH. Abou.|Chengdong Yang|17180305855|
2010-07-14T13:30:12.080+0000|17180985249|2874|maybe|Jie Wu|17180985247|
2010-07-14T13:33:55.687+0000|17180301955|4008|About You Shook Me All Night Long, singer Brian Johnson relates the story of a night wit.|Ammar Cardinale||17180301494
2010-07-14T13:34:18.049+0000|17180301957|2783|About Kelly Clarkson, including two Gram. About You Shook Me All Night Long, is o.|Rafael Alonso|17180301955|
2010-07-14T13:34:31.945+0000|17180634511|1099511631424|About Alanis Morissette, albums worldwide.. About Fernando González, Moyà, Gustavo Ku.|Baoping Huang||17180634451
2010-07-14T13:34:54.111+0000|17180634523|1099511631424|About Fernando González, twice for the . About Al Capone, twenties, he moved to.|Baoping Huang|17180634511|
2010-07-14T13:35:59.289+0000|17180985461|4047|good|Li Zhang|17180985460|
2010-07-14T13:36:33.938+0000|17180305979|4528|good|Zheng Yang||17180305596
2010-07-14T13:37:30.058+0000|17181008960|4693|fine|Zhong Zhang|17181008949|
2010-07-14T13:41:21.894+0000|17181009014|555|About Vic. About Rud. About Wil. About Jim. About Wei. About Sea. About Liv. About Hou. Ab.|Chen Yang|17181009011|
2010-07-14T13:41:39.372+0000|17180305981|2886|LOL|Baoping Wu||17180305596
2010-07-14T13:42:31.064+0000|17181008882|4693|thx|Zhong Zhang||17181008772
2010-07-14T13:42:31.085+0000|17181008883|3748|I see|Chen Yang||17181008772
2010-07-14T13:44:06.683+0000|17181008887|3192|LOL|Yang Zhang||17181008772
2010-07-14T13:46:55.714+0000|17180936847|3924|yes|Zheng Chen||17180936486
2010-07-14T13:51:40.897+0000|17181008877|2199023257352|great|Wei Wang||17181008772
2010-07-14T13:51:59.738+0000|17181008874|4290|great|Wei Chen||17181008772
2010-07-14T13:52:55.864+0000|17181008880|2199023256318|cool|Jun Wang||17181008772
2010-07-14T13:53:21.316+0000|17180306010|4528|About Aldous Huxley, communication and sight-. About Al Green, Greatest Artists of All Tim.|Zheng Yang|17180306006|
2010-07-14T13:53:31.351+0000|17180306012|4528|thx|Zheng Yang|17180306010|
2010-07-14T13:58:07.789+0000|17181008900|3780|thanks|Chen Li||17181008774
2010-07-14T14:00:48.604+0000|17180692486|1099511628255|About Mobutu Sese Se. About Rafael Nadal, . About Charles, Princ. About Barry Gold.|Rodrigo Balmaceda||17180692267
2010-07-14T14:00:56.804+0000|17180306001|1847|no way!|Jun Zhang||17180305599
2010-07-14T14:02:29.992+0000|17180692493|1099511628255|thanks|Rodrigo Balmaceda|17180692486|
2010-07-14T14:03:50.259+0000|17181009051|3039|About Luciano. About Gloria . About Carl Ju. About Eminem,. About Thomas . About T.I., t. About Muddy W. About Al Gree. About Jingle . About All.|Li Wang|17181009047|
2010-07-14T14:07:33.507+0000|17181008868|2199023255593|thx|Yang Wang||17181008771
2010-07-14T14:09:24.114+0000|17180692518|1099511630436|fine|Ai Xu|17180692516|
2010-07-14T14:09:50.793+0000|17180306111|2608|thanks|Wei Zhu||17180305609
2010-07-14T14:11:44.490+0000|17181008955|4290|right|Wei Chen|17181008951|
2010-07-14T14:11:59.396+0000|17180634524|1099511631424|thx|Baoping Huang|17180634511|
2010-07-14T14:11:59.506+0000|17180634515|1099511631424|thx|Baoping Huang||17180634451
2010-07-14T14:15:45.094+0000|17180692537|3627|thanks|Sergey Vasilievich Iglinsky|17180692529|
2010-07-14T14:15:53.807+0000|17180306095|4528|About David Beckham, with Manchester United, making his. About Italy, Roman Empire and site of the Holy See. Aft. About Mr. Brightside, October 2010, it was voted at .|Zheng Yang|17180306094|
2010-07-14T14:16:27.258+0000|17180306009|2199023259961|duh|Jun Li||17180305600
2010-07-14T14:17:06.076+0000|17181210042|2698|yes|Alexander Efimkin|17181210031|
2010-07-14T14:17:06.422+0000|17180265981|2199023257622|no way!|Chengdong Yang|17180265975|
2010-07-14T14:18:06.496+0000|17180306013|2199023257466|About Aldous Huxley, Oxford Po. About Little Richard, He began. About Al Green, smile. The.|Jie Wang|17180306010|
2010-07-14T14:19:23.816+0000|17181092115|1099511630415|right|Lin Liu|17181092114|
2010-07-14T14:20:50.773+0000|17181019008|3962|About Lleyton Hewitt, be rank. About Richard Wagner, a life . About 1 Thing, Its digital .|Sergio Gonzalez||17181018750
2010-07-14T14:21:23.137+0000|17181210033|143|right|Maria Alkaios|17181210031|
2010-07-14T14:23:15.462+0000|17180907962|2199023256996|About Alice Cooper, to shock. Originatin. About Robert De Niro, abstract express.|Mikhail Sheik||17180907680
2010-07-14T14:26:39.357+0000|17180306135|2199023257466|fine|Jie Wang||17180305615
2010-07-14T14:27:40.447+0000|17180375076|1099511632098|About Elizabeth II, perso. About Saddam Hussein, his. About Everything I Own.|Daniele Russo||17180374926
2010-07-14T14:29:10.310+0000|17181008944|4693|no|Zhong Zhang||17181008779
