2010-05-31T06:00:23.845+0000|8590340927|1099511632315|About Alexandre Dumas. About Eric Clapton, m. About Libya, of the c. About My Name I.|Janne Seppala|8590340926|
2010-05-31T06:01:47.587+0000|8590341897|1099511632601|no|Lei Wang|8590341891|
2010-05-31T06:08:28.693+0000|8589967151|318|no|Claude Radafison|8589967143|
2010-05-31T06:11:17.791+0000|8590341364|4822|LOL|Alejandro Alvarez||8590338831
2010-05-31T06:11:22.681+0000|8590580537|3522|About Arnold Schoenbe. About Philip II of Sp. About Give Me Just a . About Zhou Dynast.|Ali Lambo||8590580435
2010-05-31T06:15:19.392+0000|8589966690|318|thanks|Claude Radafison||8589966124
2010-05-31T06:15:48.642+0000|8589966387|1099511628501|no way!|Allister Miller|8589966381|
2010-05-31T06:16:06.661+0000|8590288857|345|ok|David Herzigová||8590288462
2010-05-31T06:16:18.136+0000|8590232487|1103|no way!|Mehmet Ayhan|8590232483|
2010-05-31T06:19:33.870+0000|8590341292|974|great|Heinz Frank|8590341291|
2010-05-31T06:19:59.366+0000|8590196062|1099511632296|LOL|Gordon Coetzee|8590196061|
2010-05-31T06:20:00.272+0000|8590340624|4047|thanks|Li Zhang|8590340623|
2010-05-31T06:20:45.844+0000|8590070168|2194|no way!|Alexander Dobrunov|8590070165|
2010-05-31T06:21:53.787+0000|8590580526|4018|About Gustav Mahler, and orch. About Claude Monet, title of . About Theodore Roosevelt, the. About Stanley Kubrick, and hi. About Give Me Just a Little M. About George III of t.|Rodrigo Alves||8590580435
2010-05-31T06:25:30.119+0000|8589966317|4688|maybe|Chen Lu|8589966311|
2010-05-31T06:26:23.778+0000|8589946095|609|About Pope Pi. About Silvio . About Phil Co. About George . About Weird A. Abou.|Lei Yang|8589946086|
2010-05-31T06:30:18.855+0000|8590232669|238|great|Burak Koksal||8590232340
2010-05-31T06:30:48.460+0000|8590288858|143|About Martin Luther, early in his career. He led the 1955 Montgomery Bus Boyc.|Maria Alkaios||8590288462
2010-05-31T06:30:59.010+0000|8590288871|2194|thx|Alexander Dobrunov|8590288858|
2010-05-31T06:32:51.664+0000|8590232538|4555|thx|Wei Zhou|8590232537|
2010-05-31T06:33:49.139+0000|8591027435|1099511629359|About Graham Gr. About Vanuatu, . About Stop the . About Duchy of . About Ngu.|Karim Ambane|8591027433|
2010-05-31T06:34:00.110+0000|8590001597|1099511629845|great|Zheng Zhang|8590001594|
2010-05-31T06:34:01.467+0000|8591027436|1099511629359|duh|Karim Ambane|8591027435|
2010-05-31T06:34:16.803+0000|8589966914|1490|yes|John Wilson||8589966144
2010-05-31T06:34:58.655+0000|8591094811|2608|About Augustine of Hippo, St. Augusti. About David Lloyd George, of many re.|Wei Zhu||8591094784
2010-05-31T06:35:15.148+0000|8590492167|4688|I see|Chen Lu|8590492164|
2010-05-31T06:36:36.011+0000|8590288856|345|roflol|David Herzigová||8590288462
2010-05-31T06:37:35.598+0000|8590580530|1099511630189|About Claude Mo. About Elvis Pre. About Egypt, pa. About Give Me J. About Ming .|Neil Evans|8590580526|
2010-05-31T06:40:17.093+0000|8590069811|1099511631424|About Ludwig Wi. About Sun Yat-s. About Edvard Mu. About Dr. Dre, . About Will Smit. About.|Baoping Huang||8590069460
2010-05-31T06:41:33.961+0000|8590288860|4178|yes|Lei Yan|8590288858|
2010-05-31T06:43:35.890+0000|8590341373|4005|no way!|Zheng Zhang|8590341371|
2010-05-31T06:47:50.569+0000|8590232493|238|right|Burak Koksal||8590232325
2010-05-31T06:50:13.038+0000|8589967128|1099511630235|About J. R. . About Al Gor. About Lou Re. About John A. About Slovak. About John W. Abo.|Ydnekatchew Guelleh|8589967125|
2010-05-31T06:51:51.175+0000|8589966493|1099511628501|cool|Allister Miller||8589966106
2010-05-31T06:52:04.827+0000|8590196020|1099511632296|I see|Gordon Coetzee|8590196017|
2010-05-31T06:53:38.586+0000|8590070036|3780|right|Chen Li||8590069484
2010-05-31T06:54:42.933+0000|8590001530|4688|duh|Chen Lu||8590000212
2010-05-31T06:59:25.715+0000|8590288866|345|no|David Herzigová|8590288858|
2010-05-31T07:02:42.627+0000|8589967258|1099511628501|thanks|Allister Miller||8589966179
2010-05-31T07:04:21.171+0000|8590070107|1099511630952|About Manos al Aire, Furtado's first number-. About Throw It on Me, is a song performed .|Asim Qureshi|8590070102|
2010-05-31T07:04:47.166+0000|8590342030|555|great|Chen Yang|8590342029|
2010-05-31T07:04:56.418+0000|8591223061|1099511631424|cool|Baoping Huang|8591223057|
2010-05-31T07:05:10.925+0000|8590194676|2135|About Albert Eins. About Edvard Munc. About Diana, Prin. About Francis Bac. About Han.|David Grenville||8590194272
2010-05-31T07:13:35.189+0000|8589966848|1099511630235|LOL|Ydnekatchew Guelleh|8589966839|
2010-05-31T07:13:55.461+0000|8589946027|609|About Edvard Munch, 1863 – 23 Jan. About Weird Al Yankovic, Greg Kih. About John Ford, poet born in Ils. About Wichita Lineman, 15 w.|Lei Yang|8589946024|
2010-05-31T07:17:55.777+0000|8591223058|1099511629672|About Gustav Mahler, to receive critica. About Richard Strauss, (11 June 1864 – . About Edvard Munch, themes built upon s. About Weird Al Yankovic, self-tit.|Chen Yang|8591223057|
2010-05-31T07:19:30.705+0000|8589966838|2135|no way!|David Grenville||8589966139
2010-05-31T07:20:56.423+0000|8589967140|1490|maybe|John Wilson|8589967136|
2010-05-31T07:22:42.708+0000|8590196057|102|great|Philibert Roindefo||8590195849
2010-05-31T07:23:45.831+0000|8590288874|345|thx|David Herzigová||8590288462
2010-05-31T07:26:01.497+0000|8590194857|1099511628022|About Cicero, . About Edvard M. About Nicholas. About Jack Nic. About From a B. About Eye.|Brian Wilson|8590194855|
